%eval_id interface              L              w              t              p              E              X              Y           mass         stress   displacement 
198          NO_ID     5.23856748    2.193099977    1.881556015            500       29000000            350            500     6.25481388     61844.4333 0.000763461768 
199          NO_ID    4.459265186    1.943234924    2.306385528            500       29000000            350            500     5.78291458     53134.5175 0.000360240746 
200          NO_ID    5.682047827    1.837422498    1.596052716            500       29000000            350            500     4.82155819     103066.175  0.00191524866 
201          NO_ID    4.859966394    2.077880409    1.968854492            500       29000000            350            500     5.75299109     61949.3168 0.000589594499 
202          NO_ID    4.497385702    1.854524236    2.238119916            500       29000000            350            500     5.40134933     59575.6825  0.00043090874 
203          NO_ID    4.882343057    1.950404643    2.025771807            500       29000000            350            500     5.58174257     64732.1771 0.000620303015 
204          NO_ID    5.302056198     1.87729893    2.070540052            500       29000000            350            500     5.96331377     66053.7912 0.000810191276 
205          NO_ID    5.498700279    2.019162928    2.143805079            500       29000000            350            500     6.88720442     56354.5765 0.000734173691 
206          NO_ID    4.545791967    2.081822989    1.912256689            500       29000000            350            500     5.23631557     64746.8306 0.000516839682 
207          NO_ID    4.502159325    2.035759106    1.852130911            500       29000000            350            500     4.91185109     70317.3987 0.000562355402 
208          NO_ID    5.123902821    2.251202152    2.149774651            500       29000000            350            500     7.17520946     48110.1939 0.000492110887 
209          NO_ID    5.068362415    2.159990118    2.192164039            500       29000000            350            500     6.94414437     49434.2421 0.000486479985 
210          NO_ID    5.132990676    2.439497267    1.921698082            500       29000000            350            500     6.96277296     51663.0586 0.000587382292 
211          NO_ID    4.935485899    1.770907966    2.129064481            500       29000000            350            500     5.38444553     68823.4038  0.00069013019 
212          NO_ID    5.263418456    2.255094829    2.102662565            500       29000000            350            500     7.22151898     49728.6927 0.000561536863 
213          NO_ID    4.482775436    2.138016928    2.168105074            500       29000000            350            500     6.01263326     51039.6564  0.00035130241 
214          NO_ID    4.215859787     1.75958614    2.263559369            500       29000000            350            500      4.8586414     63240.1323 0.000387515282 
215          NO_ID    4.923447128    2.184733614    2.260647014            500       29000000            350            500     7.03601555     46331.4494 0.000407518234 
216          NO_ID    4.030871673    2.007303242    2.026960645            500       29000000            350            500     4.74551708     62088.9448 0.000331965817 
217          NO_ID    4.479739303     1.99003065    1.607264196            500       29000000            350            500     4.14596893      91348.485 0.000824882282 
218          NO_ID    4.109401777    1.995936072    1.979381287            500       29000000            350            500     4.69765326     64994.8363 0.000375381925 
219          NO_ID    5.210402789    1.858735186    1.865091949            500       29000000            350            500     5.22655267     78988.3986 0.000989692901 
220          NO_ID    5.017893647    2.018021142    1.533116455            500       29000000            350            500     4.49209131     96882.8754  0.00129234234 
221          NO_ID    5.490290106    1.966693703    2.030794678            500       29000000            350            500     6.34489301      63722.266 0.000864644909 
222          NO_ID    4.521394996    1.873629178    2.004558782            500       29000000            350            500     4.91361531     69689.7665 0.000541247895 
223          NO_ID    4.989066186    2.172710313    2.491530543            500       29000000            350            500     7.81472271     40097.2454 0.000346387176 
224          NO_ID    4.316788617    1.890416573    2.001140989            500       29000000            350            500     4.72522238     68993.3346 0.000465423632 
225          NO_ID    5.359476261    1.896041881    2.024687802            500       29000000            350            500     5.95325671     67448.6234 0.000863217392 
226          NO_ID    4.749046873    1.897706818    2.172486008            500       29000000            350            500     5.66524672      60336.192 0.000515168567 
227          NO_ID    4.332811782    2.383242147    2.051670924            500       29000000            350            500     6.13016218      47925.427 0.000307045265 
228          NO_ID    5.283269432     2.14366309    1.827118791            500       29000000            350            500     5.98759393     66932.4373 0.000872625977 
229          NO_ID    5.089298408    2.109457322    2.107808402            500       29000000            350            500     6.54765906     54399.8074 0.000561450675 
230          NO_ID    4.675489923     2.19791479    2.083435188            500       29000000            350            500     6.19504175     52309.8761  0.00041893374 
231          NO_ID    4.559507069    1.941827664    2.046917955            500       29000000            350            500      5.2439106     64081.1588 0.000497291632 
232          NO_ID    6.034224926    2.227934315    2.314272842            500       29000000            350            500     9.00253259     43422.4181 0.000687649955 
233          NO_ID    5.659590224    2.098215393    1.927478343            500       29000000            350            500     6.62294014     63232.4645 0.000966418168 
234          NO_ID    4.993090382    2.399166017    1.896642182            500       29000000            350            500     6.57417711     53996.7648 0.000572464963 
235          NO_ID    4.865165952    2.076451673    2.141394894            500       29000000            350            500     6.25954139     54251.5464 0.000485592012 
236          NO_ID    4.266205917      1.9605658    2.251807169            500       29000000            350            500      5.4498017     54439.0203 0.000325600247 
237          NO_ID    4.661767354    2.054256133    2.009043209            500       29000000            350            500     5.56699373     60951.3333 0.000504760519 
238          NO_ID    5.254340027    1.531637058    1.976802715            500       29000000            350            500     4.60324017     95407.1362  0.00129886531 
239          NO_ID     4.97924536    1.935489175    1.776128258            500       29000000            350            500     4.95284645      80695.895 0.000911318317 
240          NO_ID    5.305980536    2.135938836    1.947626533            500       29000000            350            500     6.38684554     60661.1499  0.00075538933 
241          NO_ID    4.475482323    1.888801135     1.92131481            500       29000000            350            500      4.6994916     73663.8373 0.000569836926 
242          NO_ID    4.383235118     1.96815323    2.148009236            500       29000000            350            500     5.36186759     58274.8022 0.000387666666 
243          NO_ID    5.023582217    2.305045424     1.88893506            500       29000000            350            500      6.3290175     57399.9739 0.000621864315 
244          NO_ID    4.743208712    2.009083978    1.857957993            500       29000000            350            500     5.12309586     71258.3828 0.000665662427 
245          NO_ID    5.341972823    2.210228812     1.91575038            500       29000000            350            500      6.5449163     59422.4683 0.000764372575 
246          NO_ID    5.181173318    1.981855107    1.804374571            500       29000000            350            500      5.3610886     76125.0678 0.000952528178 
